ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	6	2	1	16	0	5	19	1	9	30	0	45	26	23	13	57	5	7	13	0	2	5	3
ZOTU_27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	1	0	227	1423	117	1445	90	107	37	9	0	1	0	0	62	0	0	135	4	0
ZOTU_2524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2	11	2	0	13	72	15	8	3	24	81	61	0	2	5	20
ZOTU_751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	2	2	7	0	2	49	23	10	10	8	2	20	30	14	9	6	3	4	0	3	1	2
ZOTU_3870	0	1	0	0	0	0	0	0	6	0	0	1	0	2	1	0	1	0	0	2	0	8	0	2	0	7	1	3	1	5	0	2	4	1	0	4	0	2	6	2	0	8	0	2	1	3	0	14
ZOTU_1865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	15	0	1	0	0	10	13	0	1	0	0	3	14
ZOTU_44	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	673	0	80	1	0	19	72	0	12	0	0	156	10	0	2	0	0
ZOTU_7139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	6	0	0	3	0	18	0	0	0	4	0	12	0	0	0
ZOTU_30	4	0	18	1	0	1	0	0	0	21	0	0	0	2	47	269	13	31	3	5	77	231	25	117	0	2	107	240	22	163	1	6	173	78	30	257	0	2	307	132	15	215	2	2	35	59	11	346
ZOTU_4984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	4	2	3	5	0	2	7	0	7	6	0	1	3	2	7	7	2	0	11	12
ZOTU_482	8	5	15	7	1	16	1	0	2	0	2	1	0	1	0	0	1	1	1	0	0	1	3	0	1	2	0	0	1	0	0	3	0	0	1	0	0	2	0	2	1	0	1	1	1	0	1	1
ZOTU_745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	12	1	6	0	67	9	6	0	1	0	15
ZOTU_2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	5	0	1	38	15	8	2	15	7	13	1	0	1	8
ZOTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	12	0	0	60	46	129	258	100	52	60	30	219	114	309	144
ZOTU_1465	0	0	0	0	0	0	1	2	14	0	0	1	0	1	7	4	0	0	0	5	8	0	0	6	1	0	6	3	0	5	0	0	17	0	1	23	1	0	41	4	0	9	0	0	4	3	0	12
ZOTU_224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	2	0	0	0	6	8	12	1	0	6	21	20	68	0
ZOTU_872	5	1	42	43	4	5	0	0	0	0	0	0	0	0	0	1	3	0	2	3	0	3	1	0	5	5	1	0	2	0	0	8	1	4	1	0	16	10	0	4	10	0	15	4	0	0	1	0
ZOTU_5642	2	1	4	3	0	2	5	2	4	7	5	9	0	4	2	0	3	0	1	4	2	2	3	8	7	4	1	3	7	1	2	2	5	2	12	9	5	5	5	5	3	3	3	7	1	1	0	4
ZOTU_972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	2	1	24	15	12	2	47	34	43	0	0	0	6
